case_id,arm_id,R,a,is_baseline_point,availability,discount_rate,lcoe,lcoe_1cfe,wall_load,p_fus,plasma_volume,beta,total_capital,magnet_capital,overnight_capital,cas72,fuel,beta_ok,net_positive,peak_field_ok,recirc_ok,tbr_ok,wall_load_ok,feasible
20260829-p-pump-fence:c0509,arm-package-default,13.5,1.3,False,0.85,0.07,326.51648705328074,320.09453812888415,3.1312347175040447,2921.162821859661,451.77166882082196,0.026834157382368398,17123432893.439697,6721798761.851342,17123432893.439697,105953794.73294455,571026.0448195806,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0510,arm-package-default,13.5,1.35,False,0.85,0.07,306.4080400863811,300.40847160304185,3.2602919329571804,3150.1889010883033,487.19163693843086,0.026834157382368398,17676853111.526512,6833828741.215532,17676853111.526512,117184803.15094076,615795.8382743703,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0511,arm-package-default,13.5,1.4,False,0.85,0.07,289.09588197016564,283.4601309807909,3.3893917415507295,3387.8574738727425,523.9482076265153,0.026834157382368398,18242254358.308006,6945858720.57972,18242254358.308006,129053117.46561019,662255.0578972651,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0512,arm-package-default,13.5,1.45,False,0.85,0.07,274.0479353375149,268.72860015405865,3.5185300213678783,3634.168540212981,562.0413808850759,0.026834157382368398,18819659948.629,7057888699.943912,18819659948.629,141564569.57108775,710403.7036882654,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0513,arm-package-default,13.5,1.5,False,0.85,0.07,262.3587399962309,257.31693037156305,3.6477031657314125,3889.1221001090153,601.471156714112,0.026834157382368398,19409092287.77857,7169918679.308099,19409092287.77857,167907987.96368384,760241.7756473705,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0514,arm-package-default,13.5,1.55,False,0.85,0.07,250.78121902354667,245.98464695728862,3.7769080051371184,4152.71815356085,642.2375351136242,0.026834157382368398,20010573086.561993,7281948658.672286,20010573086.561993,183482611.26953003,811769.2737745814,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0515,arm-package-default,13.5,1.6,False,0.85,0.07,240.49808947324163,235.91966558789323,3.906141742963626,4424.956700568481,684.3405160836121,0.026834157382368398,20624123509.42133,7393978638.036476,20624123509.42133,199851207.26612756,864986.1980698976,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0516,arm-package-default,13.5,1.65,False,0.85,0.07,231.3111484267556,226.92793149371505,4.035401902203436,4705.837741131908,727.7800996240754,0.026834157382368398,21249764277.783962,7506008617.400665,21249764277.783962,217021389.20184085,919892.5485333181,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
20260829-p-pump-fence:c0517,arm-package-default,13.5,1.7,False,0.85,0.07,223.06029709096228,218.8526953112289,4.164686281072112,4995.361275251135,772.556285735015,0.026834157382368398,21887515743.02468,7618038596.764855,21887515743.02468,235000455.13371387,976488.325164845,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0518,arm-package-default,13.5,1.75,False,0.85,0.07,216.93185176302035,212.8830068048836,4.293992915815957,5293.52730292616,818.6690744164302,0.026834157382368398,22537397938.542637,7730068576.129045,22537397938.542637,270526700.9855922,1034773.5279644767,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0519,arm-package-default,13.5,1.8,False,0.85,0.07,210.24419401674777,206.33949989865886,4.423320049392197,5600.335824156983,866.1184656683214,0.026834157382368398,23199430617.330143,7842098555.493232,23199430617.330143,292087100.5060056,1094748.1569322138,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
20260829-p-pump-fence:c0520,arm-package-default,13.5,1.85,False,0.85,0.07,204.16425131734286,200.39097425540837,4.552666104967571,5915.7868389436035,914.9044594906883,0.026834157382368398,23873633279.371548,7954128534.857422,23873633279.371548,314608759.0177356,1156412.2120680562,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
