case_id,arm_id,p_wallplug_heat_MW,R,a,I_coil_A,n_e0,T_i0_keV,eta_source_heat,tau_ratio_ash,is_baseline_point,beta_ok_record,beta_ok_forced,cond_strain_ok_record,cond_strain_ok_forced,net_positive_record,net_positive_forced,peak_field_ok_record,peak_field_ok_forced,recirc_ok_record,recirc_ok_forced,sustainment_ok_record,sustainment_ok_forced,wall_load_ok_record,wall_load_ok_forced,wp_stress_ok_record,wp_stress_ok_forced,p_aux_required_forced,W_th_forced,tau_E_forced,lcoe_forced,wall_load_peak_forced,beta_forced,p_fus_forced,p_aux_required_record,lcoe_record,feasible_record,feasible_forced,ignited_record,ignited_forced,feasible_driven_record,feasible_driven_forced,error
20260904-wall-and-heating:c0032,arm-fence-p100,100.0,11.2,1.3,14000000.0,4.048e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,18.568313369779446,413.0499447421753,1.4530823233234949,364.92938108301854,3.5690021692248157,0.023441651779200965,2098.3109866308628,74.2483368798371,342.60879970561973,False,False,False,False,False,False,
20260904-wall-and-heating:c0033,arm-fence-p100,100.0,11.2,1.3,14000000.0,4.554e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,3.0180393771215677,462.75259176953324,1.4319706881837648,295.52076310495784,4.339079604296165,0.026262405440957592,2551.05992483554,63.257257218191285,279.2172418837133,False,False,False,False,False,False,
20260904-wall-and-heating:c0034,arm-fence-p100,100.0,11.2,1.3,14000000.0,5.06e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,-14.200286925973046,512.1948516332258,1.4136278157429705,251.89569072023346,5.15836101434743,0.029068381458276508,3032.7371842882526,49.97126591553126,239.11367666363995,False,False,False,True,False,False,
20260904-wall-and-heating:c0035,arm-fence-p100,100.0,11.2,1.3,14000000.0,3.036e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,46.990009051873756,331.1290153460104,1.3786699406937695,618.823355241324,2.462406365526688,0.018792427333638843,1447.7139786823573,99.08227655517834,570.9660780955446,False,False,False,False,False,False,
20260904-wall-and-heating:c0036,arm-fence-p100,100.0,11.2,1.3,14000000.0,3.542e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,33.22604782008216,384.4056403316622,1.3514927639720222,416.8413429139042,3.1998615355855415,0.02181601348050126,1881.283422496486,92.26235237770669,390.3602696827843,False,False,False,False,False,False,
20260904-wall-and-heating:c0037,arm-fence-p100,100.0,11.2,1.3,14000000.0,4.048e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,violated,satisfied,satisfied,satisfied,15.976668814045638,437.33732312022323,1.3288581347397073,320.09052345388886,4.003442312373115,0.024820023266269618,2353.729863442461,81.23353794202785,302.1405177853174,False,False,False,False,False,False,
20260904-wall-and-heating:c0038,arm-fence-p100,100.0,11.2,1.3,14000000.0,4.554e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,-4.140938086096185,489.9620811544135,1.309553048434164,264.20266187638265,4.867201917291347,0.027806614279063998,2861.5570327382197,66.62117065770394,252.1349132032303,False,False,False,True,False,False,
20260904-wall-and-heating:c0039,arm-fence-p100,100.0,11.2,1.3,14000000.0,5.06e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,-26.602586549391958,542.3111217417263,1.2927797253810462,229.57241626568538,5.786140241007863,0.030777557614231427,3401.825233558429,48.964957536734914,218.8904708830199,False,False,False,True,False,False,
20260904-wall-and-heating:c0040,arm-fence-p100,100.0,11.2,1.3,15000000.0,3.036e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,31.978240611749044,267.85997028908366,2.2286084878187737,2686.0226990566953,1.5157452880943614,0.01324240943514898,891.1468360449788,55.99909348208732,2081.3415768751574,False,False,False,False,False,False,
20260904-wall-and-heating:c0041,arm-fence-p100,100.0,11.2,1.3,15000000.0,3.542e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,29.452138567085257,310.8730536157573,2.185599540395636,1038.9954760017636,1.962973315544002,0.015368881934437556,1154.084049033744,56.14073884979604,910.4728557068628,False,False,False,False,False,False,
