case_id,arm_id,p_wallplug_heat_MW,R,a,I_coil_A,n_e0,T_i0_keV,eta_source_heat,tau_ratio_ash,is_baseline_point,beta_ok_record,beta_ok_forced,cond_strain_ok_record,cond_strain_ok_forced,net_positive_record,net_positive_forced,peak_field_ok_record,peak_field_ok_forced,recirc_ok_record,recirc_ok_forced,sustainment_ok_record,sustainment_ok_forced,wall_load_ok_record,wall_load_ok_forced,wp_stress_ok_record,wp_stress_ok_forced,p_aux_required_forced,W_th_forced,tau_E_forced,lcoe_forced,wall_load_peak_forced,beta_forced,p_fus_forced,p_aux_required_record,lcoe_record,feasible_record,feasible_forced,ignited_record,ignited_forced,feasible_driven_record,feasible_driven_forced,error
20260904-wall-and-heating:c0032,arm-fence-p100,100.0,11.2,1.3,14000000.0,4.048e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,33.34773487412622,424.9645251553954,1.3898674424587694,357.76472565365924,3.6291164106465916,0.023482665322410032,2133.6537427423527,74.2483368798371,342.60879970561973,False,False,False,False,False,False,
20260904-wall-and-heating:c0033,arm-fence-p100,100.0,11.2,1.3,14000000.0,4.554e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,18.896242529050483,476.1329084710909,1.3695300681131035,290.3099679824941,4.416218107057652,0.0263101249087176,2596.4116954879632,63.257257218191285,279.2172418837133,False,False,False,False,False,False,
20260904-wall-and-heating:c0034,arm-fence-p100,100.0,11.2,1.3,14000000.0,5.06e+20,17.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,2.5899271022339008,527.0349946069048,1.351865771686755,247.82260376616313,5.254416890767792,0.029122869460754545,3089.210980398912,49.97126591553126,239.11367666363995,False,False,False,False,False,False,
20260904-wall-and-heating:c0035,arm-fence-p100,100.0,11.2,1.3,14000000.0,3.036e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,61.01341888155798,340.6211267401871,1.3190521755265843,603.2607557536505,2.4984316971187246,0.018822022657202193,1468.894226127544,99.08227655517834,570.9660780955446,False,False,False,False,False,False,
20260904-wall-and-heating:c0036,arm-fence-p100,100.0,11.2,1.3,14000000.0,3.542e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,satisfied,satisfied,satisfied,satisfied,49.02292288321735,395.4626206945857,1.2928576946487298,408.3209515437659,3.2504373633274874,0.02185245078021129,1911.0182923500186,92.26235237770669,390.3602696827843,False,False,False,False,False,False,
20260904-wall-and-heating:c0037,arm-fence-p100,100.0,11.2,1.3,14000000.0,4.048e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,33.32839615770695,449.95264987018123,1.2710467604708555,314.3472099547328,4.0708941608374865,0.024863457682660312,2393.386593248286,81.23353794202785,302.1405177853174,False,False,False,False,False,False,
20260904-wall-and-heating:c0038,arm-fence-p100,100.0,11.2,1.3,14000000.0,4.554e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,violated,satisfied,violated,violated,satisfied,satisfied,14.551126288864452,504.12932952593457,1.2524497123887133,261.2569747970261,4.953753969193458,0.02785714953533971,2912.4432784759433,66.62117065770394,252.1349132032303,False,False,False,False,False,False,
20260904-wall-and-heating:c0039,arm-fence-p100,100.0,11.2,1.3,14000000.0,5.06e+20,18.0,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,satisfied,satisfied,violated,violated,satisfied,satisfied,-6.778788883557468,558.0240311406213,1.2362969351856448,226.1748996352874,5.893915929004527,0.030835259861621774,3465.189417577464,48.964957536734914,218.8904708830199,False,False,False,True,False,False,
20260904-wall-and-heating:c0040,arm-fence-p100,100.0,11.2,1.3,15000000.0,3.036e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,38.37158930702785,275.5635648273008,2.131932526555619,2466.3542674720375,1.5396267150564973,0.013264474777748789,905.1873600332161,55.99909348208732,2081.3415768751574,False,False,False,False,False,False,
20260904-wall-and-heating:c0041,arm-fence-p100,100.0,11.2,1.3,15000000.0,3.542e+20,14.63,0.5,8.0,False,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,violated,violated,violated,violated,satisfied,satisfied,satisfied,satisfied,satisfied,36.491683750597645,319.84305741445746,2.090489081576254,995.9690781081036,1.996265333902937,0.015395903919921301,1173.6573091712803,56.14073884979604,910.4728557068628,False,False,False,False,False,False,
