R,a,lcoe,wall_load,p_fus,plasma_volume,total_capital,magnet_capital,overnight_capital,lcoe_1cfe,beta_ok,net_positive,recirc_ok,tbr_ok,wall_load_ok,feasible
5.5,2.2,166.87807912849215,5.45851465032349,3408.3433845235227,527.1164507565321,11506946317.476242,3560063788.68423,11506946317.476242,163.84405556604565,satisfied,satisfied,satisfied,satisfied,violated,False
6.0,0.8,1226.6341521171078,1.8445669341772681,491.6618556187201,76.03783512040134,5753194557.9780855,2489555096.9819784,5753194557.9780855,1201.3204470528801,satisfied,satisfied,violated,satisfied,satisfied,False
6.0,0.85,949.1846270925191,1.9727461331394216,555.0401416945706,85.83958730389055,5936445506.231126,2539346198.921619,5936445506.231126,929.7048837645267,satisfied,satisfied,violated,satisfied,satisfied,False
6.0,0.9,775.0312555713246,2.1010770234612943,622.2595360174425,96.23538507425793,6123834978.002673,2589137300.8612585,6123834978.002673,759.2040741538955,satisfied,satisfied,violated,satisfied,satisfied,False
6.0,0.95,657.6212806711079,2.2295379349486395,693.3200385873356,107.22522843150342,6315456739.429328,2638928402.800898,6315456739.429328,644.291441668655,satisfied,satisfied,satisfied,satisfied,satisfied,True
6.0,1.0,570.8357579561995,2.3581111374425294,768.22164940425,118.80911737562707,6511366123.0679655,2688719504.7405376,6511366123.0679655,559.3182156907752,satisfied,satisfied,satisfied,satisfied,satisfied,True
6.0,1.05,504.9689371352304,2.4867819842899372,846.9643684681857,130.98705190662886,6711598640.649168,2738510606.680177,6711598640.649168,494.82442097035465,satisfied,satisfied,satisfied,satisfied,satisfied,True
6.0,1.1,453.32876003178546,2.615538269946672,929.5481957791426,143.75903202450877,6916178641.262731,2788301708.6198163,6916178641.262731,444.2589494400598,satisfied,satisfied,satisfied,satisfied,satisfied,True
6.0,1.15,411.7985772946037,2.7443697417556154,1015.9731313371204,157.12505772926679,7125123781.134519,2838092810.559456,7125123781.134519,403.59175769304665,satisfied,satisfied,satisfied,satisfied,satisfied,True
6.0,1.2,378.9644553591233,2.873267724391513,1106.2391751421198,171.08512902090297,7338447510.505432,2887883912.4990954,7338447510.505432,371.46504779274227,satisfied,satisfied,satisfied,satisfied,satisfied,True
6.0,1.25,350.5536222538226,3.00222482776248,1200.3463271941407,185.6392458994173,7556160537.611499,2937675014.438735,7556160537.611499,343.64401961280026,satisfied,satisfied,satisfied,satisfied,satisfied,True
6.0,1.3,326.50427261265327,3.131234717504045,1298.2945874931827,200.78740836480975,7778271729.318119,2987466116.3783746,7778271729.318119,320.0934649600798,satisfied,satisfied,satisfied,satisfied,satisfied,True
6.0,1.35,305.9007823980012,3.2602919329571804,1400.0839560392458,216.52961641708035,8004788685.091073,3037257218.3180146,8004788685.091073,299.91693907905113,satisfied,satisfied,satisfied,satisfied,satisfied,True
6.0,1.4,288.0658381797927,3.389391741550729,1505.7144328323297,232.865870056229,8235718113.492568,3087048320.257654,8235718113.492568,282.45130317707265,satisfied,satisfied,satisfied,satisfied,satisfied,True
6.0,1.45,272.48775109745856,3.518530021367878,1615.1860178724357,249.79616928225593,8471066085.129797,3136839422.197294,8471066085.129797,267.19556759976643,satisfied,satisfied,satisfied,satisfied,satisfied,True
6.0,1.5,259.8209886433816,3.647703165731412,1728.4987111595622,267.3205140951609,8710838206.052977,3186630524.1369333,8710838206.052977,254.8124247987732,satisfied,satisfied,satisfied,satisfied,satisfied,True
6.0,1.55,247.70738326312252,3.7769080051371184,1845.6525126937108,285.43890449494404,8955039738.666792,3236421626.0765724,8955039738.666792,242.9501321700892,satisfied,satisfied,satisfied,satisfied,satisfied,True
6.0,1.6,236.9045104897642,3.906141742963626,1966.6474224748804,304.15134048160536,9203675687.280003,3286212728.0162125,9203675687.280003,232.3713555715139,satisfied,satisfied,satisfied,satisfied,satisfied,True
6.0,1.65,227.2164015925311,4.0354019022034375,2091.4834405030706,323.4578220551447,9456750859.396233,3336003829.9558516,9456750859.396233,222.8842102413602,satisfied,satisfied,satisfied,satisfied,satisfied,True
6.0,1.7,218.4839399778142,4.164686281072112,2220.1605667782824,343.3583492155622,9714269910.098972,3385794931.8954916,9714269910.098972,214.33289325664734,satisfied,satisfied,satisfied,satisfied,violated,False
6.0,1.75,211.48706416832908,4.2939929158159575,2352.6788013005157,363.8529219628579,9976237374.492403,3435586033.8351307,9976237374.492403,207.50005920726866,satisfied,satisfied,satisfied,satisfied,violated,False
6.0,1.8,204.33650029883216,4.423320049392198,2489.03814406977,384.94154029703174,10242657691.601114,3485377135.7747703,10242657691.601114,200.4986810032597,satisfied,satisfied,satisfied,satisfied,violated,False
6.0,1.85,197.81249131788275,4.552666104967571,2629.2385950860457,406.62420421808366,10513535222.097689,3535168237.7144103,10513535222.097689,194.1108757552255,satisfied,satisfied,satisfied,satisfied,violated,False
6.0,1.9,191.8391793619243,4.682029663392143,2773.2801543493424,428.9009137260137,10788874261.528387,3584959339.6540494,10788874261.528387,188.26236092505195,satisfied,satisfied,satisfied,satisfied,violated,False
6.0,1.95,186.352319541429,4.81140944396963,2921.1628218596607,451.7716688208219,11068679050.228905,3634750441.5936885,11068679050.228905,182.8902250691341,satisfied,satisfied,satisfied,satisfied,violated,False
6.0,2.0,181.29715177350928,4.9408042879748235,3072.886597617,475.23646950250827,11352953780.789223,3684541543.533329,11352953780.789223,177.94084411321032,satisfied,satisfied,satisfied,satisfied,violated,False
6.0,2.05,177.48756968456908,5.070213144470908,3228.45148162136,499.2953157710727,11641702603.692883,3734332645.4729686,11641702603.692883,174.2290852730815,satisfied,satisfied,satisfied,satisfied,violated,False
