case_id,arm_id,I_coil_A,n_e0,j_wp,p_input_MW,T_i0_keV,is_baseline_point,R,a,availability,discount_rate,lcoe,lcoe_1cfe,p_fus,wall_load,beta,B_axis,B_peak,sigma_wp,eps_cond,wp_side,c_coil,vol_cold,p_cryo,total_capital,magnet_capital,heating_capital,overnight_capital,cas72,fuel,beta_ok,cond_strain_ok,net_positive,peak_field_ok,recirc_ok,sustainment_ok,tbr_ok,wall_load_ok,wp_stress_ok,feasible
20260903-priced-levers:c0021,arm-fence-p50,15000000.0,5.5660000000000007e+20,118.8271604938272,50.0,17.0,False,12.7,1.3,0.85,0.07,199.66962087902814,196.03797395841596,4479.924799483019,5.104587238374072,0.03608687474263594,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,0.3552939152782752,25.0,133.01298701298697,0.8555372727272725,16603366161.857826,5262159272.727273,264145000.0,16603366161.857826,234753009.43567702,875731.3081608296,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0025,arm-fence-p50,15000000.0,5.5660000000000007e+20,118.8271604938272,50.0,18.0,False,12.7,1.3,0.85,0.07,185.20470341512345,181.90609856475373,5025.241786627869,5.725941001671489,0.038208783187236695,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,0.3552939152782752,25.0,133.01298701298697,0.8555372727272725,17279586110.531834,5262159272.727273,264145000.0,17279586110.531834,287414436.9917773,982329.3382370915,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0029,arm-fence-p50,15000000.0,5.5660000000000007e+20,118.8271604938272,50.0,19.0,False,12.7,1.3,0.85,0.07,173.82908821815718,170.7977191982042,5587.869763487051,6.367019528471544,0.040338860426244565,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,0.3552939152782752,25.0,133.01298701298697,0.8555372727272725,17964532276.301224,5262159272.727273,264145000.0,17964532276.301224,345383096.22359717,1092311.3036128567,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0018,arm-fence-p50,15000000.0,6.072e+20,118.8271604938272,50.0,14.63,False,12.7,1.3,0.85,0.07,226.55881378829838,222.32928658252013,3778.981986158591,4.305907818545687,0.033814804336345115,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,0.3552939152782752,25.0,133.01298701298697,0.8555372727272725,15712783745.5923,5262159272.727273,264145000.0,15712783745.5923,175768475.1682255,738711.6941420026,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0022,arm-fence-p50,15000000.0,6.072e+20,118.8271604938272,50.0,17.0,False,12.7,1.3,0.85,0.07,181.60705448028028,178.3863482978643,5175.725895006221,5.897408000245859,0.03924684172405298,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,0.3552939152782752,25.0,133.01298701298697,0.8555372727272725,17463973620.092846,5262159272.727273,264145000.0,17463973620.092846,299384104.15960425,1011745.8242242663,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0026,arm-fence-p50,15000000.0,6.072e+20,118.8271604938272,50.0,18.0,False,12.7,1.3,0.85,0.07,169.8033596608268,166.86000905865052,5805.689442237195,6.615211094665475,0.04155453054330176,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,0.3552939152782752,25.0,133.01298701298697,0.8555372727272725,18226623111.516796,5262159272.727273,264145000.0,18226623111.516796,364008787.48382944,1134890.480887673,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False
20260903-priced-levers:c0030,arm-fence-p50,15000000.0,6.072e+20,118.8271604938272,50.0,19.0,False,12.7,1.3,0.85,0.07,160.4979749445614,157.77884811513118,6456.149758403356,7.356368943867254,0.04387135118764122,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,0.3552939152782752,25.0,133.01298701298697,0.8555372727272725,19000167683.692013,5262159272.727273,264145000.0,19000167683.692013,435078962.3896402,1262041.8258496765,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0019,arm-fence-p50,15000000.0,7.084e+20,118.8271604938272,50.0,14.63,False,12.7,1.3,0.85,0.07,188.1524573644262,184.76786916879863,4870.234559081148,5.549320198643267,0.03923086838278477,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,0.3552939152782752,25.0,133.01298701298697,0.8555372727272725,17088689705.819927,5262159272.727273,264145000.0,17088689705.819927,263326232.24823815,952028.6773488689,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False
20260903-priced-levers:c0023,arm-fence-p50,15000000.0,7.084e+20,118.8271604938272,50.0,17.0,False,12.7,1.3,0.85,0.07,157.69122414005182,155.034047297815,6665.099656921555,7.594453963856573,0.045530503026166395,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,0.3552939152782752,25.0,133.01298701298697,0.8555372727272725,19245984674.18045,5262159272.727273,264145000.0,19245984674.18045,454123172.0525337,1302887.1471797426,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False
20260903-priced-levers:c0027,arm-fence-p50,15000000.0,7.084e+20,118.8271604938272,50.0,18.0,False,12.7,1.3,0.85,0.07,150.18391392740185,147.7321351455254,7476.228400398643,8.518683190451927,0.048207617101601485,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,0.3552939152782752,25.0,133.01298701298697,0.8555372727272725,20189285124.083775,5262159272.727273,264145000.0,20189285124.083775,562208364.3243735,1461445.7988102366,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False
20260903-priced-levers:c0031,arm-fence-p50,15000000.0,7.084e+20,118.8271604938272,50.0,19.0,False,12.7,1.3,0.85,0.07,143.59570774857752,141.31180219322147,8314.89574422713,9.47429088749229,0.050895806601968734,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,0.3552939152782752,25.0,133.01298701298697,0.8555372727272725,21148361032.554825,5262159272.727273,264145000.0,21148361032.554825,665242526.9643248,1625387.6690415055,violated,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,False
20260903-priced-levers:c0032,arm-fence-p50,15000000.0,5.06e+20,130.0,50.0,14.63,False,12.7,1.3,0.85,0.07,295.97359498570836,290.2184052745201,2786.253121308193,3.17475689046187,0.028356109189914915,8.766233766233764,24.253246753246746,653556262.4559524,0.0021785208748531745,0.3396831102433787,25.0,121.5811965811966,0.8271292735042736,14397179012.694176,5262159272.727273,264145000.0,14397179012.694176,99033025.80525981,544654.0288069109,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False
