case_id,arm_id,eta_source_heat,p_wallplug_heat_MW,I_coil_A,n_e0,T_i0_keV,is_baseline_point,R,a,j_wp,eta_couple_heat,availability,discount_rate,lcoe,lcoe_1cfe,p_fus,wall_load,beta,B_axis,B_peak,sigma_wp,eps_cond,heating_capital,total_capital,magnet_capital,overnight_capital,cas72,fuel,p_cryo,vol_cold,beta_ok,cond_strain_ok,net_positive,peak_field_ok,recirc_ok,sustainment_ok,tbr_ok,wall_load_ok,wp_stress_ok,feasible,wall_load_shadow_lo,wall_load_ok_shadow_lo,wall_load_shadow_hi,wall_load_ok_shadow_hi,feasible_shadow_lo
20260903-wall-and-heating:c0017,arm-fence-p100,0.4,100.0,15000000.0,5.06e+20,14.63,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,295.38755056793434,289.6465389619054,2786.253121308193,3.17475689046187,0.028356109189914915,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,211316000.0,14300678081.55747,5262159272.727273,14300678081.55747,98860946.04935949,544654.0288069109,0.8555372727272725,133.01298701298697,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False,3.6509704240311502,satisfied,5.809805109545223,violated,False
20260903-wall-and-heating:c0018,arm-fence-p100,0.4,100.0,15000000.0,5.5660000000000007e+20,14.63,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,254.70437698850097,249.8530614704237,3269.5217830209103,3.725410562945286,0.031091204524620192,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,211316000.0,14950383114.379604,5262159272.727273,14950383114.379604,134462622.4120729,639122.9130532825,0.8555372727272725,133.01298701298697,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False,4.284222147387078,violated,6.817501330189874,violated,False
20260903-wall-and-heating:c0019,arm-fence-p100,0.4,100.0,15000000.0,6.072e+20,14.63,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,225.95782203456002,221.74228454836114,3778.981986158591,4.305907818545687,0.033814804336345115,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,211316000.0,15616386748.359045,5262159272.727273,15616386748.359045,175540586.6619433,738711.6941420026,0.8555372727272725,133.01298701298697,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,4.9517939913275395,violated,7.879811307938607,violated,False
20260903-wall-and-heating:c0020,arm-fence-p100,0.4,100.0,15000000.0,4.554e+20,17.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,259.95540527916523,254.99275676155642,3197.1174069936887,3.642910416087097,0.029725545724167843,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,211316000.0,14854249239.321283,5262159272.727273,14854249239.321283,130170275.87008935,624969.3766050359,0.8555372727272725,133.01298701298697,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,satisfied,satisfied,False,4.189346978500161,violated,6.666526061439388,violated,False
20260903-wall-and-heating:c0021,arm-fence-p100,0.4,100.0,15000000.0,5.06e+20,17.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,223.99921024341344,219.82543324916097,3819.558567959709,4.352142233387366,0.03291350135682031,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,211316000.0,15668708940.300663,5262159272.727273,15668708940.300663,178238490.79953387,746643.5645755173,0.8555372727272725,133.01298701298697,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,5.00496356839547,violated,7.96442028709888,violated,False
20260903-wall-and-heating:c0022,arm-fence-p100,0.4,100.0,15000000.0,5.5660000000000007e+20,17.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,199.1209380170985,195.5019627411129,4479.924799483019,5.104587238374072,0.03608687474263594,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,211316000.0,16507295131.583519,5262159272.727273,16507295131.583519,234494890.47593057,875731.3081608296,0.8555372727272725,133.01298701298697,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,5.870275324130183,violated,9.341394646224552,violated,False
20260903-wall-and-heating:c0023,arm-fence-p100,0.4,100.0,15000000.0,6.072e+20,17.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,181.11010795360357,177.90083408220542,5175.725895006221,5.897408000245859,0.03924684172405298,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,211316000.0,17368162485.39225,5262159272.727273,17368162485.39225,299098053.07355255,1011745.8242242663,0.8555372727272725,133.01298701298697,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,6.782019200282737,violated,10.792256640449923,violated,False
20260903-wall-and-heating:c0024,arm-fence-p100,0.4,100.0,15000000.0,4.554e+20,19.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,216.40950993498433,212.39747921754662,3987.249371994931,4.54321515906899,0.03322763872601483,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,211316000.0,15883908861.971195,5262159272.727273,15883908861.971195,189392337.55506167,779423.5985620818,0.8555372727272725,133.01298701298697,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,5.224697432929338,violated,8.314083741096251,violated,False
20260903-wall-and-heating:c0025,arm-fence-p100,0.4,100.0,15000000.0,5.06e+20,19.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,190.55105197940216,187.11589735067338,4763.86749077273,5.428121740237654,0.03679139342188612,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,211316000.0,16861146742.05168,5262159272.727273,16861146742.05168,255280392.56925657,931236.1471069074,0.8555372727272725,133.01298701298697,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,6.242340001273302,violated,9.933462784634907,violated,False
20260903-wall-and-heating:c0026,arm-fence-p100,0.4,100.0,15000000.0,5.5660000000000007e+20,19.0,False,12.7,1.3,118.8271604938272,1.0,0.85,0.07,173.3604647018918,170.3398693387976,5587.869763487051,6.367019528471544,0.040338860426244565,8.766233766233764,24.253246753246746,624840489.5315987,0.0020828016317719954,211316000.0,17868853163.694942,5262159272.727273,17868853163.694942,345076857.93068427,1092311.3036128567,0.8555372727272725,133.01298701298697,satisfied,satisfied,satisfied,satisfied,satisfied,violated,satisfied,violated,satisfied,False,7.322072457742275,violated,11.651645737102927,violated,False
