case_id,arm_id,source,p_net_MW,rec_frac,q_eng,p_et_MW,p_th_MW,recirc_threshold,B_max,beta_limit,wall_load_limit,tbr,tbr_floor
20260823-magnet-technology-ab:c2278,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,756.9293923265294,0.1729818828082494,5.780952223236587,915.251282398484,2748.502349544997,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2279,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,795.2317560884233,0.1670683020889094,5.985575884214266,954.73825534889,2867.0818478945644,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2280,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,834.3578265978845,0.16151212634691012,6.191485572124232,995.0744105132829,2988.2114429828316,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2281,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,874.3076038549137,0.1562852792132975,6.3985552896201074,1036.2597478916637,3111.891134809801,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2282,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,915.0810878595104,0.1513623734691124,6.606661728940606,1078.2942674840313,3238.1209233754694,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2283,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,956.6782786116744,0.1467204094126345,6.815684361864159,1121.177969290386,3366.9008086798376,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2284,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,999.0991761114063,0.1423385117651516,7.025505519194473,1164.9108533107283,3498.2307907229074,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2285,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1042.3437803587058,0.13819769961879871,7.236010460075504,1209.4929195450575,3632.110869504677,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2286,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1086.4120913535728,0.1342806847916973,7.447087431459323,1254.924167993374,3768.541045025147,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2287,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1131.3041090960082,0.13057169467061575,7.65862771807191,1301.2045986556784,3907.521317284319,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2288,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1177.0198335860102,0.12705631621652078,7.870525683240082,1348.3342115319695,4049.0516862821905,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2289,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1223.5592648235793,0.12372135830530409,8.082678800957916,1396.3130066222466,4193.1321520187585,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2290,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1270.9224028087176,0.12055472999211171,8.29498767958282,1445.140983926513,4339.7627144940325,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2291,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1319.109247541422,0.11754533263720422,8.507356077560585,1494.8181434447652,4488.9433737080035,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2292,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1368.1197990216947,0.11468296412564008,8.719690911585241,1545.3444851770048,4640.674129660675,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2293,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1417.9540572495353,0.11195823366167894,8.931902257603051,1596.720009123232,4794.954982352048,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2294,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1468.6120222249426,0.10936248582931113,9.14390334507175,1648.9447152834462,4951.78593178212,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2295,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1520.0936939479188,0.1068877327890375,9.355610544885286,1702.0186036576483,5111.166977950896,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2296,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,18.88814650595253,0.8776547814393643,1.1394001618267129,154.38401866593045,463.61567166946077,0.5,24.9,0.05,4.05,1.074,1.05
20260823-magnet-technology-ab:c2297,arm-rebco,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,34.126721335953285,0.7993653892491221,1.2509923665063138,170.0938896246941,510.7924613354177,0.5,24.9,0.05,4.05,1.074,1.05
