arm_id,B,density_scale,lcoe,lcoe_1cfe,beta,B_peak,p_fus,wall_load,magnet_capital,p_cryo,total_capital,cas72,fuel,beta_ok,net_positive,peak_field_ok,recirc_ok,tbr_ok,wall_load_ok,feasible
arm-nb3sn,3.125,0.38,1363.8384301429785,1335.7536961031324,0.08457782929708024,8.645833333333334,396.81941301866635,0.4521502932075841,307390900.1690248,7.008274999999999,2564005171.6111913,0.0,77569.86985731353,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.125,0.4,906.3933367247881,887.9105115233959,0.08902929399692658,8.645833333333334,439.68910029769125,0.5009975548006472,307390900.1690248,7.008274999999999,2655970209.4705915,0.0,85949.99430173244,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.125,0.41,778.5719078237369,762.7590879363992,0.09125502634684975,8.645833333333334,461.94836100026185,0.5263605560124299,307390900.1690248,7.008274999999999,2702555566.0732646,0.0,90301.21276325763,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.125,0.42,683.4653599958643,669.633789571195,0.09348075869677291,8.645833333333334,484.7572330782045,0.5523498041677134,307390900.1690248,7.008274999999999,2749588651.0211086,0.0,94759.86871766,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.125,0.43,609.9167290250315,597.6134113831488,0.09570649104669608,8.645833333333334,508.1157165315195,0.578965299266498,307390900.1690248,7.008274999999999,2797088593.5103917,0.0,99325.96216493957,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.125,0.44,551.3291491081075,540.2402735323992,0.09793222339661921,8.645833333333334,532.0238113602064,0.6062070413087831,307390900.1690248,7.008274999999999,2845068146.894028,0.0,103999.49310509626,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.125,0.45,503.5509240311035,493.4501497683869,0.10015795574654239,8.645833333333334,556.4815175642655,0.634075030294569,307390900.1690248,7.008274999999999,2893535978.517573,0.0,108780.46153813013,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.125,0.46,463.83807575307264,454.55679482024124,0.10238368809646556,8.645833333333334,581.4888351436966,0.6625692662238559,307390900.1690248,7.008274999999999,2942498022.276603,0.0,113668.86746404116,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.125,0.47,430.303958077862,421.71320562186787,0.10460942044638873,8.645833333333334,607.0457640985,0.6916897490966435,307390900.1690248,7.008274999999999,2991958322.07051,0.0,118664.71088282936,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.125,0.48,406.15345820846596,398.1523933359628,0.1068351527963119,8.645833333333334,633.1523044286753,0.7214364789129318,307390900.1690248,7.008274999999999,3041919580.8483367,3943656.140497649,123767.99179449471,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.125,0.49,381.41298923342134,373.92127633964657,0.10906088514623506,8.645833333333334,659.808456134223,0.7518094556727213,307390900.1690248,7.008274999999999,3092383530.635092,4370824.147263338,128978.71019903726,violated,satisfied,satisfied,violated,satisfied,satisfied,False
arm-nb3sn,3.125,0.5,359.80197066962546,352.7545768397847,0.11128661749615822,8.645833333333334,687.0142192151426,0.7828086793760113,307390900.1690248,7.008274999999999,3143351189.130968,4819307.233841097,134296.86609645694,violated,satisfied,satisfied,violated,satisfied,satisfied,False
