frequency_hz,eta,gain,eta_g,lcoe_per_mwh,f_recirc,p_net_mw,power_positive,viable,attractive
1.0,0.04,285.0,11.4,151.52145063713064,0.18274853801169588,17.359999999999996,True,True,False
1.0,0.04,290.0,11.6,148.25364020736117,0.17959770114942528,17.839999999999996,True,True,False
1.0,0.04,295.0,11.8,145.15706875207744,0.17655367231638416,18.32,True,True,False
1.0,0.04,300.0,12.0,142.21862009451036,0.1736111111111111,18.8,True,True,False
1.0,0.05,10.0,0.5,nan,4.166666666666667,-8.8,False,False,False
1.0,0.05,15.0,0.75,nan,2.7777777777777777,-8.200000000000001,False,False,False
1.0,0.05,20.0,1.0,nan,2.0833333333333335,-7.6,False,False,False
1.0,0.05,25.0,1.25,nan,1.6666666666666665,-7.0,False,False,False
1.0,0.05,30.0,1.5,nan,1.3888888888888888,-6.4,False,False,False
1.0,0.05,35.0,1.75,nan,1.1904761904761905,-5.8,False,False,False
1.0,0.05,40.0,2.0,nan,1.0416666666666667,-5.2,False,False,False
1.0,0.05,45.0,2.25,nan,0.925925925925926,-4.6000000000000005,False,False,False
1.0,0.05,50.0,2.5,nan,0.8333333333333333,-3.999999999999999,False,False,False
1.0,0.05,55.0,2.75,nan,0.7575757575757576,-3.3999999999999995,False,False,False
1.0,0.05,60.0,3.0,nan,0.6944444444444444,-2.8000000000000003,False,False,False
1.0,0.05,65.0,3.25,nan,0.641025641025641,-2.1999999999999997,False,False,False
1.0,0.05,70.0,3.5,nan,0.5952380952380952,-1.5999999999999992,False,False,False
1.0,0.05,75.0,3.75,nan,0.5555555555555556,-0.9999999999999998,False,False,False
1.0,0.05,80.0,4.0,nan,0.5208333333333334,-0.40000000000000036,False,False,False
1.0,0.05,85.0,4.25,10572.24213012891,0.49019607843137253,0.20000000000000018,True,False,False
1.0,0.05,90.0,4.5,2665.611404780259,0.462962962962963,0.7999999999999985,True,False,False
1.0,0.05,95.0,4.75,1536.092729730444,0.43859649122807015,1.4000000000000012,True,False,False
