arm_id,sweep,R,a,availability,discount_rate,eta_th,lcoe,wall_load,p_fus,plasma_volume,total_capital,magnet_capital,overnight_capital,lcoe_1cfe,p_net,rec_frac,q_eng,p_th,p_et,cas72,turbine_cost,heat_rejection_cost,bop_capital,beta,beta_ok,net_positive,peak_field_ok,recirc_ok,tbr_ok,wall_load_ok,feasible
arm-rankine-paper,grid,4.5,0.85,0.85,0.07,0.333,1653.3887435167542,1.9727461331394214,416.2801062709279,64.3796904779179,4614085252.451988,1904509649.1912136,4614085252.451988,1619.242965226339,,,,,,6312774.568502373,36026589.13752147,18699811.25616105,79412535.39774537,0.026834157382368398,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
arm-rankine-paper,grid,4.5,0.9,0.85,0.07,0.333,1178.0483022393623,2.101077023461294,466.69465201308185,72.17653880569344,4754464800.767921,1941852975.6459432,4754464800.767921,1153.8840211475988,,,,,,7243069.837262151,39976566.85279224,20750070.231820695,88119375.33579414,0.026834157382368398,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
arm-rankine-paper,grid,4.5,0.95,0.85,0.07,0.333,919.4685711908448,2.2295379349486386,519.9900289405016,80.41892132362756,4897563144.638869,1979196302.1006727,4897563144.638869,900.7687530301408,,,,,,9726578.770043606,44152257.58036418,22917486.86323231,97323748.9845885,0.026834157382368398,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
arm-rankine-paper,grid,4.5,1.0,0.85,0.07,0.333,754.3707909593775,2.3581111374425294,576.1662370531875,89.1068380317203,5043544884.358325,2016539628.5554028,5043544884.358325,739.1138722474358,,,,,,11069051.982182357,48553661.32023733,25202061.15039592,107025656.34412855,0.026834157382368398,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
arm-rankine-paper,grid,4.5,1.05,0.85,0.07,0.333,640.6899687022562,2.4867819842899372,635.2232763511392,98.24028892997164,5192497887.450646,2053882955.0101323,5192497887.450646,627.7978655507717,,,,,,12500457.47451256,53180778.07241167,27603793.093311504,117225097.41441426,0.026834157382368398,satisfied,satisfied,satisfied,violated,satisfied,satisfied,False
arm-rankine-paper,grid,4.5,1.1,0.85,0.07,0.333,557.7047443094515,2.6155382699466725,697.1611468343569,107.81927401838159,5344474643.108491,2091226281.4648623,5344474643.108491,546.5350235212735,,,,,,14020875.811669728,58033607.83688718,30122682.691979066,127922072.19544557,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.5,1.15,0.85,0.07,0.333,494.50911494486843,2.744369741755616,761.9798485028404,117.84379329695008,5499509013.667781,2128569607.9195917,5499509013.667781,484.64829880812084,,,,,,15630412.45413202,63112150.61366386,32758729.9463986,139116580.68722248,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.5,1.2,0.85,0.07,0.333,446.15885012702876,2.873267724391513,829.6793813565899,128.31384676567723,5657624152.265956,2165912934.374322,5657624152.265956,437.3252922931475,,,,,,19293627.82804135,68416406.40274176,35511934.856570125,150808622.88974512,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.5,1.25,0.85,0.07,0.333,406.1142790219002,3.0022248277624795,900.2597453956054,139.22943442456295,5818836655.33507,2203256260.8290515,5818836655.33507,398.10759206092206,,,,,,21394602.776077814,73946375.20412083,38382297.42249363,162998198.80301338,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.5,1.3,0.85,0.07,0.333,373.16734173999987,3.1312347175040447,973.720940619887,150.59055627360732,5983158910.514948,2240599587.2837806,5983158910.514948,365.8399446691607,,,,,,23611796.388698697,79702057.01780109,41369817.64416911,175685308.4270273,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.5,1.35,0.85,0.07,0.333,345.60345311812125,3.260291932957181,1050.0629670294345,162.39721231281027,6150600502.094196,2277942913.73851,6150600502.094196,338.84356352261227,,,,,,25945752.606056668,85683451.84378256,44474495.52159657,188869951.76178685,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.5,1.4,0.85,0.07,0.333,322.21801117008255,3.389391741550728,1129.2858246242472,174.64940254217177,6321169090.772852,2315286240.19324,6321169090.772852,315.93896976625695,,,,,,28397003.514749203,91890559.68206514,47696331.05477599,202552128.8072919,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.5,1.45,0.85,0.07,0.333,302.13996679381097,3.5185300213678787,1211.3895134043269,187.34712696169194,6494870984.563656,2352629566.6479697,6494870984.563656,296.27326175348844,,,,,,30966072.627171114,98323380.532649,51035324.243707426,216731839.56354278,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.5,1.5,0.85,0.07,0.333,285.76142714694856,3.6477031657314134,1296.374033369672,200.4903855713707,6671711520.401434,2389972893.1026993,6671711520.401434,280.25197964709497,,,,,,36520906.32507838,104981914.395534,54491475.08839082,231409084.03053924,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.5,1.55,0.85,0.07,0.333,270.5558790933621,3.776908005137119,1384.2393845202832,214.07917837120806,6851695325.619506,2427316219.557429,6851695325.619506,265.3587643487002,,,,,,39692460.03395951,111866161.27072023,58064783.58882621,246583862.20828143,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.5,1.6,0.85,0.07,0.333,257.14730756486546,3.906141742963626,1474.9855668561602,228.113505361204,7034826500.912424,2464659546.0121593,7034826500.912424,252.22541717989662,,,,,,43009144.0899931,118976121.15820758,61755249.745013565,262256174.0967691,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.5,1.65,0.85,0.07,0.333,245.2410734216348,4.035401902203437,1568.6125803773025,242.59336654135848,7221108750.685253,2502002872.4668884,7221108750.685253,240.56341256945677,,,,,,46471821.82773714,126311794.0579961,65562873.55695287,278426019.6960024,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,satisfied,True
arm-rankine-paper,grid,4.5,1.7,0.85,0.07,0.333,234.60325554688538,4.164686281072112,1665.1204250837116,257.5187619116716,7410545477.376597,2539346198.921618,7410545477.376597,230.14367889366238,,,,,,50081331.19446913,133873179.97008586,69487655.0246442,295093399.00598145,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
arm-rankine-paper,grid,4.5,1.75,0.85,0.07,0.333,225.91791256886884,4.293992915815957,1764.5091009753864,272.8896914721434,7603139850.64533,2576689525.3763475,7603139850.64533,221.65417004490078,,,,,,57387752.28994529,141660278.8944768,73529594.1480875,312258312.02670616,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
arm-rankine-paper,grid,4.5,1.8,0.85,0.07,0.333,217.32143472911753,4.423320049392197,1866.7786080523274,288.70615522277376,7798894858.728086,2614032851.831077,7798894858.728086,213.23444035273562,,,,,,61688001.901301734,149673090.83116895,77688690.92728278,329920758.75817657,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
arm-rankine-paper,grid,4.5,1.85,0.85,0.07,0.333,209.5265441351388,4.552666104967571,1971.9289463145344,304.96815316356276,7997813346.964727,2651376178.2858067,7997813346.964727,205.59980818480835,,,,,,66162431.351101905,157911615.78016227,81964945.36223005,348080739.20039254,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
arm-rankine-paper,grid,4.5,1.9,0.85,0.07,0.333,202.42918333072964,4.682029663392141,2079.9601157620064,321.67568529451023,8199898046.968275,2688719504.7405367,8199898046.968275,198.64836600107435,,,,,,70812168.47498363,166375853.74145672,86358357.45292924,366738253.353354,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
arm-rankine-paper,grid,4.5,1.95,0.85,0.07,0.333,195.9424014648331,4.811409443969629,2190.8721163947453,338.8287516156164,8405151598.894677,2726062831.1952662,8405151598.894677,192.29495814069,,,,,,75638307.1320296,175065804.71505243,90868927.19938047,385893301.2170613,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
arm-rankine-paper,grid,4.5,2.0,0.85,0.07,0.333,189.99298920639845,4.940804287974824,2304.66494821275,356.4273521268812,8613576568.570385,2763406157.6499963,8613576568.570385,186.46788571280032,,,,,,80641910.08519877,183981468.7009493,95496654.60158367,405545882.7915142,0.026834157382368398,satisfied,satisfied,satisfied,satisfied,satisfied,violated,False
