case_id,arm_id,I_coil_A,n_e0,T_i0_keV,p_input_MW,source,p_net_MW,rec_frac,q_eng,p_aux_required_MW,p_input_installed_MW,tau_E_s,p_rad_MW,n_He0,n_D0,W_th_MJ,beta_limit,wall_load_limit,B_max_T,sigma_allow_Pa,recirc_threshold
20260901-sustainment-fence:c0024,arm-grid-I-ne,10000000.0,6.072e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1600.4442147792467,0.19367164544674242,5.16337844754352,641.1789698156263,50.0,0.5308216944805741,313.66076343417427,3.891839389765588e+19,2.6468160610234414e+20,679.7919321732165,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0025,arm-grid-I-ne,10000000.0,6.578e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1891.566899938011,0.17217378537382344,5.808085114866945,667.3399970351848,50.0,0.5247541698709612,367.41030481468033,4.443867316915772e+19,2.8446132683084228e+20,735.0910146926636,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0026,arm-grid-I-ne,10000000.0,7.084e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,2199.4734441442383,0.1548321130330718,6.4586084915498265,690.1122998957371,50.0,0.5192546901219091,425.43929335629093,5.02158684485173e+19,3.039841315514827e+20,790.2377531442376,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0027,arm-grid-I-ne,11000000.0,3.036e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,228.86921533609802,0.5990794993621279,1.6692275416948061,296.11553132011693,50.0,0.7280287717631255,82.008988108127,1.4386799165488253e+19,1.3741320083451175e+20,342.903757304555,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0028,arm-grid-I-ne,11000000.0,3.542e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,395.4178323185903,0.4674930104999184,2.139069413959023,329.60373190308786,50.0,0.7112875001517918,110.1865968020991,1.868163751063491e+19,1.584183624893651e+20,398.92949230944197,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0029,arm-grid-I-ne,11000000.0,4.048e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,581.677435601472,0.37760495930891635,2.6482703029911905,358.7157916499143,50.0,0.6973289038643113,142.62466610370964,2.338661644541631e+19,1.790133835545837e+20,454.71202531868147,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0030,arm-grid-I-ne,11000000.0,4.554e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,786.6057930834925,0.31351496669461565,3.189640387962933,383.7731169550491,50.0,0.6854268095368863,179.32838863007495,2.847213182823524e+19,1.9922786817176476e+20,510.26891076725934,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0031,arm-grid-I-ne,11000000.0,5.06e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1009.2661859014916,0.26619759251005654,3.7566079789478994,405.09235733700496,50.0,0.6750994281980051,220.30148923276096,3.3912610713750106e+19,2.190873892862499e+20,565.615312702575,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0032,arm-grid-I-ne,11000000.0,5.566e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1248.811211447894,0.23024357526508119,4.343226510658082,422.97893721686387,50.0,0.666011926009988,265.54674295873076,3.968567382813397e+19,2.3861432617186604e+20,620.7645014133867,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0033,arm-grid-I-ne,11000000.0,6.072e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1504.4699797570163,0.20225851811256526,4.94416754029345,437.7241488671327,50.0,0.6579228846111065,315.0662802666237,4.5771532215154565e+19,2.5782846778484543e+20,675.7282112019533,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0034,arm-grid-I-ne,11000000.0,6.578e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1775.537812692677,0.18002765965922438,5.554701993532033,449.6040887296076,50.0,0.6506529587727761,368.86177718884556,5.215253608611106e+19,2.7674746391388894e+20,730.516907903511,0.05,4.05,24.9,800000000.0,0.5
